requestId,owner,amountOfEEth_wei,amountOfEEth_ether,shareOfEEth_wei,isValid,owner_is_contract
15022,0x4E427bC6222C018A6628dcd3D591E5E1B00e0aD5,56495236054202802,0.056495,54509426061853492,True,False
15038,0xf4E1F218279248aa2F5D5C25F40672FDeF585FEc,3693062747590137271,3.693063,3563120220418323571,True,False
15070,0x12D41CD80080A8D27133FF1C0C6D43C8A0Ab9e49,66173228222012946,0.066173,63844885300708255,True,False
15074,0x514883fF2011B198b5B451011Ecf7A9C3106bE04,302204868605599890,0.302205,291571617281651433,True,False
15215,0x725aB30Be0405e0da37f9cDDe6e2C82DddAb91b0,33654897065281777,0.033655,32469490974671300,True,False
15284,0x7b86300e5F26dC2D84EED9E6151Ad4c9a2a2A0DF,10025501207203187,0.010026,9671130027302362,True,False
15338,0x0194EaCFdf5B6703b395D2Ef69d3D5d08Fb274f3,16848907175233487,0.016849,16252649352584633,True,False
15486,0x40e71D3d8b5fC821BEEBC89e65621f40e64eAa38,100739845623017102,0.100740,97166542388500537,True,False
15565,0x687f519ee45F41b58711b88d2655Ee40850feFB7,300000000000000000,0.300000,289337440865030387,True,False
15617,0x18187B1cbdfB9d5DbbB6B411690cA633e456098A,20020439786817922,0.020020,19307727363534349,True,False
15641,0xF5a4170C83D9267B9344eb284D3fC31329e72843,10011957293394282,0.010012,9655361975560350,True,False
15858,0xBF290707F2E33562d281608BeD2FE58E220C86A0,10000000000000000,0.010000,9642904812412822,True,False
15923,0x68EA537f3BC970358Ae1b02f6E99545c33807C1a,13021225032114700,0.013021,12555561747491114,True,False
15966,0x6c27839B2079BbB7e311e29C87A5c8bB5358F8aa,19999999999999999,0.020000,19284762710919895,True,False
16070,0x6E3a7ce3EeB814aD53Ae6D11911894f225928cdd,106889069911946207,0.106889,103055626826757773,True,True
16092,0x59321390d5Db0Df2aA7d5cbc9E0cc057b796Da34,28000000000000000,0.028000,26995814946526352,True,False
16095,0x65C44174e56F40666D8F924482aB5d64d3cCF3FA,10669576943866782,0.010670,10286925883369708,True,False
16149,0x90985276FF7E46271BBCE9528F7EaC4e6Eb7fc38,40264881562030072,0.040265,38819319370583934,True,False
16381,0x9E751f8d26b20225eC8dcb99d9fdCcf3717eE28F,10068042502092058,0.010068,9706237822629683,True,False
16385,0x8c0c0384e0B0836EcaE63bdEA011073Eae148Fc5,329551064370887723,0.329551,317708333553410766,True,False
16425,0x30edBaA7B7Bb900956B19905266d8b245592CAA7,10074950082905518,0.010075,9712554852014821,True,False
16428,0x8A10e914Ba5e0913bEe62F9DE57f0d33bAf385bF,10076282300825512,0.010076,9713839150151913,True,False
16478,0x4e079F7aE28120D5B95CC2f7eFB5b1F150552eE0,504308333407735650,0.504308,486168398874909355,True,False
16499,0x684d32B2CEA5454087e73a8F9b63c89b0aDD46bB,10000000000000000,0.010000,9640300718208436,True,False
